Rank,Name,Net Worth,Change,Age,Country/Territory,Source,Industry,Net Worth Num
332,Law Kar Po,$7 B,up arrow,74.0,Hong Kong,Real estate,Real Estate,7.0
332,Rohiqa Cyrus Mistry,$7 B,new to list,55.0,India,Diversified,Diversified,7.0
332,Shapoor Mistry,$7 B,new to list,58.0,Ireland,Diversified,Diversified,7.0
332,J. Christopher Reyes,$7 B,down arrow,69.0,United States,Food distribution,Food & Beverage,7.0
332,Jude Reyes,$7 B,down arrow,67.0,United States,Food distribution,Food & Beverage,7.0
332,Don Vultaggio & family,$7 B,up arrow,71.0,United States,Beverages,Food & Beverage,7.0
344,Alejandro Bailleres Gual & family,$6.9 B,up arrow,62.0,Mexico,Diversified,Diversified,6.9
344,Edythe Broad & family,$6.9 B,unchanged,87.0,United States,"Homebuilding, insurance",Diversified,6.9
344,Pauline MacMillan Keinath,$6.9 B,down arrow,89.0,United States,Cargill,Food & Beverage,6.9
344,Philippe Laffont,$6.9 B,up arrow,55.0,United States,Hedge fund,Finance & Investments,6.9
344,Liu Jincheng & family,$6.9 B,down arrow,58.0,China,Lithium batteries,Manufacturing,6.9
344,Igor Olenicoff,$6.9 B,up arrow,80.0,United States,Real estate,Real Estate,6.9
344,Sandra Ortega Mera,$6.9 B,up arrow,54.0,Spain,Zara,Fashion & Retail,6.9
344,Ronda Stryker,$6.9 B,up arrow,68.0,United States,Medical equipment,Healthcare,6.9
352,Dannine Avara,$6.8 B,up arrow,59.0,United States,Pipelines,Energy,6.8
352,Silvio Berlusconi & family,$6.8 B,down arrow,86.0,Italy,Media,Diversified,6.8
352,Denise Coates,$6.8 B,up arrow,55.0,United Kingdom,Online gambling,Gambling & Casinos,6.8
352,Scott Duncan,$6.8 B,up arrow,40.0,United States,Pipelines,Energy,6.8
352,Milane Frantz,$6.8 B,up arrow,53.0,United States,Pipelines,Energy,6.8
352,"Edward Johnson, IV.",$6.8 B,up arrow,58.0,United States,Fidelity,Finance & Investments,6.8
352,Yuri Milner,$6.8 B,down arrow,61.0,Israel,Tech investments,Finance & Investments,6.8
352,Gordon Moore,$6.8 B,down arrow,94.0,United States,Intel,Technology,6.8
352,John Overdeck,$6.8 B,up arrow,53.0,United States,Hedge funds,Finance & Investments,6.8
352,David Siegel,$6.8 B,up arrow,61.0,United States,Hedge funds,Finance & Investments,6.8
352,Viktor Vekselberg,$6.8 B,up arrow,65.0,Russia,"Metals, investments",Diversified,6.8
352,Wang Laisheng,$6.8 B,down arrow,58.0,Hong Kong,Electronics components,Technology,6.8
352,Randa Duncan Williams,$6.8 B,up arrow,61.0,United States,Pipelines,Energy,6.8
365,Ken Fisher,$6.7 B,up arrow,72.0,United States,Money management,Finance & Investments,6.7
365,Christopher Hohn,$6.7 B,down arrow,56.0,United Kingdom,Hedge funds,Finance & Investments,6.7
365,Kjeld Kirk Kristiansen,$6.7 B,down arrow,75.0,Denmark,Lego,Manufacturing,6.7
365,Sofie Kirk Kristiansen,$6.7 B,down arrow,47.0,Denmark,Lego,Manufacturing,6.7
365,Thomas Kirk Kristiansen,$6.7 B,down arrow,44.0,Denmark,Lego,Manufacturing,6.7
365,Massimiliana Landini Aleotti & family,$6.7 B,up arrow,80.0,Italy,Pharmaceuticals,Healthcare,6.7
365,Li Ping,$6.7 B,down arrow,55.0,Hong Kong,Batteries,Automotive,6.7
365,Lin Jianhua,$6.7 B,,60.0,China,Solar panel components,Manufacturing,6.7
365,Magdalena Martullo-Blocher,$6.7 B,down arrow,54.0,Switzerland,Chemicals,Manufacturing,6.7
365,Xavier Niel,$6.7 B,down arrow,55.0,France,"Internet, telecom",Telecom,6.7
365,Terrence Pegula,$6.7 B,up arrow,72.0,United States,Natural gas,Energy,6.7
365,"Edward Roski, Jr.",$6.7 B,up arrow,84.0,United States,Real estate,Real Estate,6.7
365,John A. Sobrato & family,$6.7 B,up arrow,83.0,United States,Real estate,Real Estate,6.7
365,George Soros,$6.7 B,down arrow,92.0,United States,Hedge funds,Finance & Investments,6.7
365,David Sun,$6.7 B,up arrow,71.0,United States,Computer hardware,Technology,6.7
365,Agnete Kirk Thinggaard,$6.7 B,down arrow,39.0,Denmark,Lego,Manufacturing,6.7
365,John Tu,$6.7 B,up arrow,81.0,United States,Computer hardware,Technology,6.7
365,Xu Shihui,$6.7 B,down arrow,65.0,China,"Snacks, beverages",Food & Beverage,6.7
383,Rahel Blocher,$6.6 B,down arrow,47.0,Switzerland,Chemicals,Manufacturing,6.6
383,Bubba Cathy,$6.6 B,up arrow,68.0,United States,Chick-fil-A,Food & Beverage,6.6
383,Dan Cathy,$6.6 B,up arrow,70.0,United States,Chick-fil-A,Food & Beverage,6.6
